;Players;Values
7;Gareth McAuley;1,00 Mio. €  
8;Kyle Jameson; 
9;Kieran Gibbs;8,00 Mio. €  
10;Max Melbourne;100 Tsd. €  
11;Allan Nyom;4,50 Mio. €  
12;Kane Wilson;250 Tsd. €  
13;Nathan Ferguson; 
14;Grzegorz Krychowiak;18,00 Mio. €  
15;Jake Livermore;9,00 Mio. €  
16;Claudio Yacob;3,50 Mio. €  
17;Gareth Barry;1,00 Mio. €  
18;James Morrison;4,00 Mio. €  
19;Chris Brunt;3,00 Mio. €  
20;Sam Field;1,50 Mio. €  
21;Rekeem Harper;100 Tsd. €  
22;James McClean;3,00 Mio. €  
23;Nacer Chadli;10,00 Mio. €  
24;Oliver Burke;10,00 Mio. €  
25;Matt Phillips;9,00 Mio. €  
26;Jonathan Leko;1,50 Mio. €  
27;Tyler Roberts;2,50 Mio. €  
28;Rayhaan Tulloch; 
29;Daniel Sturridge;15,00 Mio. €  
30;Salomón Rondón;13,00 Mio. €  
31;Jay Rodríguez;12,00 Mio. €  
32;Hal Robson-Kanu;2,50 Mio. €  
0;Karl Darlow;4,50 Mio. €  
1;Martin Dubravka;4,00 Mio. €  
2;Rob Elliot;1,50 Mio. €  
3;Freddie Woodman;500 Tsd. €  
4;Jamaal Lascelles;15,00 Mio. €  
5;Florian Lejeune;8,00 Mio. €  
6;Ciaran Clark;6,00 Mio. €  
7;Chancel Mbemba;6,00 Mio. €  
8;Grant Hanley;4,00 Mio. €  
9;Paul Dummett;3,50 Mio. €  
10;Stuart Findlay;250 Tsd. €  
11;Curtis Good;250 Tsd. €  
12;Matt Ritchie;12,00 Mio. €  
13;Massadio Haidara;1,50 Mio. €  
14;Achraf Lazaar;1,00 Mio. €  
15;DeAndre Yedlin;8,00 Mio. €  
16;Javier Manquillo;5,00 Mio. €  
17;Jesús Gámez;2,00 Mio. €  
18;Jamie Sterry;75 Tsd. €  
19;Isaac Hayden;7,00 Mio. €  
20;Jack Colback;3,50 Mio. €  
21;Jonjo Shelvey;15,00 Mio. €  
22;Mikel Merino;10,00 Mio. €  
23;Mohamed Diamé;5,00 Mio. €  
24;Dan Barlaser; 
25;Henri Saivet;2,00 Mio. €  
26;Kenedy;10,00 Mio. €  
27;Christian Atsu;6,00 Mio. €  
28;Rolando Aarons;700 Tsd. €  
29;Jacob Murphy;7,00 Mio. €  
30;Ayoze Pérez;10,00 Mio. €  
31;Islam Slimani;18,00 Mio. €  
32;Aleksandar Mitrovic;15,00 Mio. €  
33;Dwight Gayle;10,00 Mio. €  
34;Joselu;4,00 Mio. €  
35;Adam Armstrong;1,50 Mio. €  
36;Ivan Toney;500 Tsd. €  
0;Asmir Begovic;8,00 Mio. €  
1;Artur Boruc;1,00 Mio. €  
2;Adam Federici;750 Tsd. €  
3;Aaron Ramsdale;500 Tsd. €  
4;Ryan Allsop;250 Tsd. €  
5;Nathan Aké;15,00 Mio. €  
6;Steve Cook;7,00 Mio. €  
7;Tyrone Mings;4,00 Mio. €  
8;Baily Cargill;250 Tsd. €  
9;Jack Simpson; 
10;Shaun Hobson; 
11;Charlie Daniels;3,50 Mio. €  
