,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
10,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30-222,1990,14.0,29,4,0,1,1,24.6,0.33,+0.6,+0.04,78,195,40.0,468,72,34.4,33.2,104,32.7,33.4,109,2,1.8,21,1.62,16.9,Matches
11,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,27-297,1993,18.0,25,5,0,3,0,24.3,0.26,+0.3,+0.02,53,154,34.4,457,76,26.3,29.4,150,22.7,28.2,147,12,8.2,6,0.35,11.6,Matches
12,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23-267,1997,19.0,30,2,0,3,0,27.0,0.32,-3.0,-0.16,82,253,32.4,342,98,47.1,40.1,128,71.9,52.9,183,14,7.7,4,0.21,12.4,Matches
13,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22-218,1998,2.5,1,1,0,0,0,2.0,0.22,+1.0,+0.39,36,61,59.0,70,13,62.9,44.5,20,85.0,60.6,19,2,10.5,0,0.00,11.9,Matches
14,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,25-169,1995,11.0,18,1,1,1,0,15.2,0.37,-2.8,-0.25,51,171,29.8,312,50,38.1,35.4,81,64.2,45.3,97,6,6.2,7,0.64,15.4,Matches
15,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,29-280,1991,13.0,10,1,0,2,1,9.7,0.24,+2.7,+0.22,64,137,46.7,286,45,33.6,34.9,77,53.2,42.0,99,5,5.1,9,0.75,15.9,Matches
16,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,37-272,1983,8.0,16,2,0,2,1,15.8,0.42,+0.8,+0.10,57,136,41.9,232,35,48.7,40.2,40,57.5,46.4,52,3,5.8,3,0.38,12.6,Matches
17,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,42-348,1978,4.0,2,1,0,0,0,2.4,0.18,+0.4,+0.11,10,23,43.5,103,19,19.4,27.2,33,9.1,18.4,33,0,0.0,5,1.25,14.6,Matches
18,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,30-057,1990,13.0,19,2,0,4,0,15.7,0.31,-3.3,-0.25,58,133,43.6,334,64,31.4,32.3,75,37.3,35.0,83,4,4.8,4,0.31,14.3,Matches
19,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,21-098,1999,1.0,1,0,0,0,0,1.3,0.45,+0.3,+0.32,2,5,40.0,28,9,17.9,25.5,2,0.0,21.5,7,0,0.0,2,2.00,13.1,Matches
20,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,39-104,1981,1.0,3,0,0,1,0,1.5,0.49,-1.5,-1.54,1,3,33.3,20,2,15.0,24.6,6,0.0,19.7,8,0,0.0,2,2.00,22.0,Matches
21,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26-243,1994,1.0,1,0,0,0,0,1.8,0.29,+0.8,+0.75,7,15,46.7,23,9,47.8,39.2,6,66.7,55.0,9,0,0.0,0,0.00,12.7,Matches
22,Dani Cárdenas\Dani-Cardenas,es ESP,GK,Levante,es La Liga,23-288,1997,1.0,1,0,0,0,0,1.0,0.26,0.0,+0.03,3,7,42.9,22,4,27.3,30.5,7,14.3,18.4,16,2,12.5,1,1.00,15.3,Matches
23,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28-199,1992,14.0,16,2,1,3,1,15.5,0.28,+0.5,+0.04,107,243,44.0,434,76,41.5,37.4,88,71.6,54.6,127,15,11.8,12,0.86,15.1,Matches
24,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41-226,1979,2.0,3,0,0,0,0,1.8,0.29,-1.2,-0.62,25,63,39.7,53,3,92.5,59.7,16,87.5,61.1,17,1,5.9,2,1.00,14.3,Matches
25,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,33-349,1987,15.0,23,2,0,1,1,22.2,0.29,+0.2,+0.02,86,182,47.3,428,65,34.1,31.7,117,30.8,28.2,143,11,7.7,10,0.67,15.2,Matches
26,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,38-009,1983,16.0,38,3,1,3,1,31.2,0.34,-5.8,-0.36,79,197,40.1,530,77,32.6,30.9,117,20.5,24.8,110,5,4.5,15,0.94,16.1,Matches
27,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,37-059,1983,6.0,9,1,1,0,0,9.4,0.36,+0.4,+0.07,35,70,50.0,245,23,24.5,30.3,42,23.8,24.4,48,0,0.0,7,1.17,16.0,Matches
28,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33-191,1987,19.0,22,3,0,2,1,19.6,0.25,+0.6,+0.03,151,326,46.3,472,71,50.0,40.3,129,69.8,50.4,146,6,4.1,11,0.61,14.8,Matches
29,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28-244,1992,18.0,15,6,0,1,1,14.5,0.22,+0.5,+0.03,56,163,34.4,480,102,24.6,32.2,110,40.9,39.6,134,14,10.4,10,0.59,15.0,Matches
30,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26-196,1994,16.0,33,3,1,5,0,33.0,0.31,0.0,0.00,87,176,49.4,323,70,37.2,32.9,138,40.6,33.2,148,12,8.1,7,0.44,12.8,Matches
31,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,22-289,1998,1.0,5,1,0,1,0,5.5,0.43,+0.5,+0.50,0,5,0.0,18,8,27.8,32.3,5,0.0,16.0,17,1,5.9,0,0.00,8.4,Matches
32,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30-094,1990,16.0,26,1,0,2,2,26.1,0.30,+2.1,+0.13,118,347,34.0,329,57,70.5,51.0,133,86.5,60.8,162,15,9.3,2,0.13,11.7,Matches
33,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,21-055,1999,1.5,1,1,0,0,0,1.0,0.03,0.0,+0.01,5,16,31.3,40,13,27.5,32.2,12,41.7,39.0,11,0,0.0,1,0.67,15.3,Matches
