name,age,height,citizenship,position,foot,current club,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Janik Haberer,26,186.0,Germany,Midfielder - Central Midfield,right,SC Freiburg,28.0,1.0,2428.0,0.0,28.0,2.0,1857.0,0.0,,,,,Bundesliga
Mike Frantz,34,182.0,Germany,Midfielder - Central Midfield,right,Hannover 96,34.0,3.0,2523.0,0.0,20.0,0.0,496.0,0.0,6.0,0.0,366.0,0.0,Bundesliga
Jérôme Gondorf,32,176.0,Germany,Midfielder - Central Midfield,right,Karlsruher SC,26.0,2.0,1413.0,0.0,19.0,2.0,1617.0,0.0,11.0,1.0,1013.0,0.0,Bundesliga
Lino Tempelmann,21,174.0,Germany,Midfielder - Central Midfield,right,SC Freiburg,8.0,0.0,541.0,0.0,7.0,0.0,569.0,0.0,6.0,0.0,434.0,0.0,Bundesliga
Vincenzo Grifo,27,180.0,Italy  Germany,Forward - Left Winger,right,SC Freiburg,26.0,7.0,1881.0,0.0,29.0,4.0,1769.0,0.0,11.0,4.0,804.0,0.0,Bundesliga
Florian Kath,26,186.0,Germany,Forward - Left Winger,left,1.FC Magdeburg,0.0,0.0,0.0,0.0,2.0,0.0,180.0,0.0,3.0,0.0,117.0,0.0,Bundesliga
Roland Sallai,23,182.0,Hungary,Forward - Right Winger,both,SC Freiburg,17.0,3.0,1072.0,0.0,23.0,2.0,1293.0,0.0,10.0,1.0,640.0,0.0,Bundesliga
"Chang-hoon Kwon,26,173.0,""Korea, South"",Forward - Right Winger,left,SC Freiburg,24.0,4.0,1167.0,0.0,23.0,2.0,665.0,0.0,8.0,1.0,169.0,0.0,Bundesliga"
"Woo-yeong Jeong,21,179.0,""Korea, South"",Forward - Right Winger,right,SC Freiburg,33.0,13.0,2529.0,0.0,22.0,3.0,1585.0,0.0,8.0,0.0,282.0,0.0,Bundesliga"
Brandon Borrello,25,178.0,Australia  Italy,Forward - Right Winger,right,Fortuna Düsseldorf,9.0,0.0,763.0,0.0,8.0,0.0,409.0,0.0,10.0,0.0,435.0,0.0,Bundesliga
Yoric Ravet,31,178.0,France,Forward - Right Winger,right,Grenoble Foot 38,21.0,3.0,1413.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,925.0,0.0,Bundesliga
Luca Waldschmidt,24,181.0,Germany,Forward - Second Striker,left,SL Benfica,32.0,9.0,1868.0,0.0,24.0,8.0,1386.0,0.0,14.0,6.0,840.0,0.0,Bundesliga
Nils Petersen,32,188.0,Germany,Forward - Centre-Forward,right,SC Freiburg,26.0,12.0,2138.0,0.0,36.0,11.0,2606.0,0.0,11.0,4.0,659.0,0.0,Bundesliga
Lucas Höler,26,184.0,Germany,Forward - Centre-Forward,right,SC Freiburg,28.0,4.0,1049.0,0.0,36.0,8.0,2582.0,0.0,11.0,1.0,863.0,0.0,Bundesliga
Tim Kleindienst,25,194.0,Germany,Forward - Centre-Forward,right,KAA Gent,8.0,1.0,389.0,0.0,30.0,16.0,2554.0,0.0,16.0,3.0,802.0,0.0,Bundesliga
Timo Horn,27,192.0,Germany,Goalkeeper,left,1. FC Köln,35.0,0.0,3180.0,0.0,36.0,0.0,3270.0,0.0,11.0,0.0,940.0,0.0,Bundesliga
Thomas Kessler,34,197.0,Germany,Goalkeeper,right,Retired,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,,,,,Bundesliga
Julian Krahl,20,194.0,Germany,Goalkeeper,right,1. FC Köln,23.0,0.0,2100.0,0.0,11.0,0.0,990.0,0.0,18.0,0.0,1620.0,0.0,Bundesliga
Brady Scott,21,187.0,United States,Goalkeeper,right,Nashville SC,13.0,0.0,1170.0,0.0,13.0,0.0,1170.0,0.0,,,,,Bundesliga
Sebastiaan Bornauw,21,191.0,Belgium,Defender - Centre-Back,right,1. FC Köln,28.0,1.0,2256.0,0.0,30.0,6.0,2659.0,0.0,10.0,0.0,829.0,0.0,Bundesliga
Jorge Meré,23,182.0,Spain,Defender - Centre-Back,right,1. FC Köln,28.0,0.0,2499.0,0.0,13.0,1.0,824.0,0.0,2.0,0.0,180.0,0.0,Bundesliga
Toni Leistner,30,190.0,Germany,Defender - Centre-Back,right,Hamburger SV,46.0,2.0,4008.0,0.0,38.0,0.0,3088.0,0.0,6.0,1.0,503.0,0.0,Bundesliga
Rafael Czichos,30,187.0,Germany,Defender - Centre-Back,left,1. FC Köln,34.0,2.0,3070.0,0.0,27.0,1.0,2330.0,0.0,10.0,1.0,812.0,0.0,Bundesliga
Lasse Sobiech,29,196.0,Germany,Defender - Centre-Back,right,FC Zürich,17.0,0.0,945.0,0.0,7.0,1.0,630.0,0.0,7.0,2.0,630.0,0.0,Bundesliga
Robert Voloder,19,185.0,Germany,Defender - Centre-Back,left,1. FC Köln,21.0,2.0,1841.0,0.0,20.0,5.0,1720.0,0.0,8.0,0.0,596.0,0.0,Bundesliga
